celex,readable_name,cluster_id,cluster_name,method
32012R1151,Quality Schemes Regulation [Regulation (EU) No 1151/2012],8,Intellectual Property,keyword
32012R1179,Regulation (EU) No 1179/2012,12,"Environment, Energy & Climate",keyword
32012R1215,Brussels I Recast [Regulation (EU) No 1215/2012],7,Consumer Rights & Internal Market,hand
32012R1224,Regulation (EU) No 1224/2012,7,Consumer Rights & Internal Market,keyword
32012R1268,Regulation (EU) No 1268/2012,15,EU Institutional Framework & Funding,keyword
32013L0001,Council Directive 2013/1/EU,15,EU Institutional Framework & Funding,keyword
32013L0002,Commission Directive 2013/2/EU,12,"Environment, Energy & Climate",keyword
32013L0011,ADR Consumer Directive [Directive 2013/11/EU],7,Consumer Rights & Internal Market,keyword
32013L0014,Directive 2013/14/EU,5,"Financial Markets, Investment & Capital",keyword
32013L0016,Council Directive 2013/16/EU,7,Consumer Rights & Internal Market,keyword
32013L0020,Directive 2013/20/EU,13,"Health, Medicines & Life Sciences",keyword
32013L0022,Directive 2013/22/EU,11,Transport & Mobility,keyword
32013L0024,Directive 2013/24/EU,15,EU Institutional Framework & Funding,keyword
32013L0025,Directive 2013/25/EU,15,EU Institutional Framework & Funding,hand
32013L0029,Pyrotechnic Articles Directive [Directive 2013/29/EU],7,Consumer Rights & Internal Market,keyword
32013L0030,Offshore Safety Directive [Directive 2013/30/EU],12,"Environment, Energy & Climate",keyword
32013L0032,Asylum Procedures Directive [Directive 2013/32/EU],10,"Migration, Asylum & Border Management",hand
32013L0033,Reception Conditions Directive [Directive 2013/33/EU],10,"Migration, Asylum & Border Management",keyword
32013L0034,Accounting Directive [Directive 2013/34/EU],5,"Financial Markets, Investment & Capital",keyword
32013L0035,Electromagnetic Fields Directive [Directive 2013/35/EU],13,"Health, Medicines & Life Sciences",keyword
32013L0036,CRD IV [Directive 2013/36/EU],6,"Banking, Payments, Insurance & AML",hand
32013L0040,Attacks Against Information Systems Directive [Directive 2013/40/EU],4,Cybersecurity & Operational Resilience,keyword
32013L0048,Access to a Lawyer Directive [Directive 2013/48/EU],9,Criminal Justice & Fundamental Rights,keyword
32013L0050,Transparency Directive Amendment [Directive 2013/50/EU],5,"Financial Markets, Investment & Capital",hand
32013L0053,Recreational Craft Directive [Directive 2013/53/EU],7,Consumer Rights & Internal Market,keyword
32013L0055,Directive 2013/55/EU,7,Consumer Rights & Internal Market,keyword
32013L0064,Council Directive 2013/64/EU,12,"Environment, Energy & Climate",keyword
32013R0057,Regulation (EU) No 57/2013,12,"Environment, Energy & Climate",keyword
32013R0167,Regulation (EU) No 167/2013,7,Consumer Rights & Internal Market,keyword
32013R0168,Regulation (EU) No 168/2013,7,Consumer Rights & Internal Market,keyword
32013R0216,Regulation (EU) No 216/2013,15,EU Institutional Framework & Funding,keyword
32013R0228,POSEI Regulation [Regulation (EU) No 228/2013],13,"Health, Medicines & Life Sciences",keyword
32013R0231,Regulation (EU) No 231/2013,5,"Financial Markets, Investment & Capital",keyword
32013R0345,EuVECA Regulation [Regulation (EU) No 345/2013],5,"Financial Markets, Investment & Capital",hand
32013R0346,EuSEF Regulation [Regulation (EU) No 346/2013],5,"Financial Markets, Investment & Capital",hand
32013R0347,TEN-E Regulation [Regulation (EU) No 347/2013],12,"Environment, Energy & Climate",keyword
32013R0402,Regulation (EU) No 402/2013,11,Transport & Mobility,keyword
32013R0462,Regulation (EU) No 462/2013,5,"Financial Markets, Investment & Capital",hand
32013R0472,Regulation (EU) No 472/2013,5,"Financial Markets, Investment & Capital",keyword
32013R0473,Regulation (EU) No 473/2013,5,"Financial Markets, Investment & Capital",keyword
32013R0517,Regulation (EU) No 517/2013,7,Consumer Rights & Internal Market,keyword
32013R0519,Regulation (EU) No 519/2013,7,Consumer Rights & Internal Market,keyword
32013R0524,Consumer ODR Regulation [Regulation (EU) No 524/2013],7,Consumer Rights & Internal Market,hand
32013R0557,Regulation (EU) No 557/2013,15,EU Institutional Framework & Funding,keyword
32013R0575,CRR - Capital Requirements Regulation [Regulation (EU) No 575/2013],5,"Financial Markets, Investment & Capital",hand
32013R0603,Eurodac Regulation [Regulation (EU) No 603/2013],10,"Migration, Asylum & Border Management",hand
32013R0604,Dublin III Regulation [Regulation (EU) No 604/2013],10,"Migration, Asylum & Border Management",hand
32013R0606,Regulation (EU) No 606/2013,7,Consumer Rights & Internal Market,hand
32013R0608,Customs Enforcement of Intellectual Property Rights Regulation [Regulation (EU) No 608/2013],8,Intellectual Property,hand
32013R0609,Regulation (EU) No 609/2013,12,"Environment, Energy & Climate",keyword
32013R0610,Schengen Borders Code Amendment Regulation [Regulation (EU) No 610/2013],10,"Migration, Asylum & Border Management",hand
32013R0659,Regulation (EU) No 659/2013,11,Transport & Mobility,keyword
32013R0679,Regulation (EU) No 679/2013,15,EU Institutional Framework & Funding,keyword
32013R0681,Regulation (EU) No 681/2013,7,Consumer Rights & Internal Market,hand
32013R0715,Regulation (EU) No 715/2013,7,Consumer Rights & Internal Market,keyword
32013R0883,"OLAF Regulation [Regulation (EU, Euratom) No 883/2013]",9,Criminal Justice & Fundamental Rights,keyword
32013R0920,Regulation (EU) No 920/2013,7,Consumer Rights & Internal Market,keyword
32013R0952,Union Customs Code [Regulation (EU) No 952/2013] [Recast],15,EU Institutional Framework & Funding,keyword
32013R1002,Regulation (EU) No 1002/2013,5,"Financial Markets, Investment & Capital",keyword
32013R1022,Regulation (EU) No 1022/2013,5,"Financial Markets, Investment & Capital",keyword
32013R1023,"Staff Regulations Amendment Regulation [Regulation (EU, Euratom) No 1023/2013]",15,EU Institutional Framework & Funding,hand
32013R1024,SSM Regulation [Regulation (EU) No 1024/2013],6,"Banking, Payments, Insurance & AML",keyword
32013R1051,Regulation (EU) No 1051/2013,9,Criminal Justice & Fundamental Rights,keyword
32013R1052,Eurosur Regulation [Regulation (EU) No 1052/2013],10,"Migration, Asylum & Border Management",keyword
32013R1159,Regulation (EU) No 1159/2013,15,EU Institutional Framework & Funding,keyword
32013R1253,Regulation (EU) No 1253/2013,15,EU Institutional Framework & Funding,keyword
32013R1257,Ship Recycling Regulation [Regulation (EU) No 1257/2013],11,Transport & Mobility,keyword
32013R1258,Regulation (EU) No 1258/2013,9,Criminal Justice & Fundamental Rights,keyword
32013R1259,Regulation (EU) No 1259/2013,9,Criminal Justice & Fundamental Rights,keyword
32013R1260,European Demographic Statistics Regulation [Regulation (EU) No 1260/2013],15,EU Institutional Framework & Funding,keyword
32013R1264,Regulation (EU) No 1264/2013,11,Transport & Mobility,keyword
32013R1285,Galileo Regulation [Regulation (EU) No 1285/2013],15,EU Institutional Framework & Funding,keyword
32013R1288,Erasmus Plus Regulation [Regulation (EU) No 1288/2013],15,EU Institutional Framework & Funding,keyword
32013R1290,Regulation (EU) No 1290/2013,15,EU Institutional Framework & Funding,keyword
32013R1295,Creative Europe Regulation [Regulation (EU) No 1295/2013],15,EU Institutional Framework & Funding,keyword
32013R1303,Common Provisions Regulation [Regulation (EU) No 1303/2013],11,Transport & Mobility,keyword
32013R1304,European Social Fund Regulation [Regulation (EU) No 1304/2013],15,EU Institutional Framework & Funding,keyword
32013R1305,Rural Development Regulation [Regulation (EU) No 1305/2013],14,"Agriculture, Fisheries & Rural Development",hand
32013R1306,CAP Horizontal Regulation [Regulation (EU) No 1306/2013],14,"Agriculture, Fisheries & Rural Development",hand
32013R1307,Regulation (EU) No 1307/2013,14,"Agriculture, Fisheries & Rural Development",keyword
32013R1308,Single CMO Regulation [Regulation (EU) No 1308/2013],14,"Agriculture, Fisheries & Rural Development",hand
32013R1310,Regulation (EU) No 1310/2013,14,"Agriculture, Fisheries & Rural Development",keyword
32013R1316,Connecting Europe Facility Regulation [Regulation (EU) No 1316/2013],5,"Financial Markets, Investment & Capital",keyword
32013R1336,Regulation (EU) No 1336/2013,7,Consumer Rights & Internal Market,keyword
32013R1350,Regulation (EU) No 1350/2013,14,"Agriculture, Fisheries & Rural Development",keyword
32013R1352,Regulation (EU) No 1352/2013,8,Intellectual Property,keyword
32013R1372,Regulation (EU) No 1372/2013,7,Consumer Rights & Internal Market,keyword
32013R1379,Common Markets Organisation Fisheries Regulation [Regulation (EU) No 1379/2013],14,"Agriculture, Fisheries & Rural Development",hand
32013R1380,Common Fisheries Policy Regulation [Regulation (EU) No 1380/2013],14,"Agriculture, Fisheries & Rural Development",hand
32013R1381,Regulation (EU) No 1381/2013,15,EU Institutional Framework & Funding,keyword
32013R1382,Regulation (EU) No 1382/2013,9,Criminal Justice & Fundamental Rights,keyword
32013R1385,Regulation (EU) No 1385/2013,13,"Health, Medicines & Life Sciences",keyword
32013R1409,Regulation (EU) No 1409/2013,5,"Financial Markets, Investment & Capital",hand
32013R1416,Regulation (EU) No 1416/2013,15,EU Institutional Framework & Funding,keyword
32014L0017,Mortgage Credit Directive,6,"Banking, Payments, Insurance & AML",keyword
32014L0023,Public Procurement Concessions Directive [Directive 2014/23/EU],7,Consumer Rights & Internal Market,hand
32014L0024,Public Procurement Classical Directive [Directive 2014/24/EU],7,Consumer Rights & Internal Market,hand
32014L0025,Public Procurement Utilities Directive [Directive 2014/25/EU],7,Consumer Rights & Internal Market,hand
32014L0026,Collective Rights Management Directive [Directive 2014/26/EU],3,"Digital Content, Media & Copyright",hand
32014L0027,Directive 2014/27/EU,7,Consumer Rights & Internal Market,keyword
32014L0028,Directive 2014/28/EU,7,Consumer Rights & Internal Market,keyword
32014L0029,Directive 2014/29/EU,7,Consumer Rights & Internal Market,keyword
32014L0030,EMC Directive [Directive 2014/30/EU],7,Consumer Rights & Internal Market,keyword
32014L0031,Directive 2014/31/EU,7,Consumer Rights & Internal Market,keyword
32014L0032,Measuring Instruments Directive [Directive 2014/32/EU],7,Consumer Rights & Internal Market,keyword
32014L0033,Lifts Directive [Directive 2014/33/EU],7,Consumer Rights & Internal Market,keyword
32014L0034,ATEX Directive [Directive 2014/34/EU],7,Consumer Rights & Internal Market,keyword
32014L0035,Low Voltage Directive [Directive 2014/35/EU],7,Consumer Rights & Internal Market,keyword
32014L0036,Seasonal Workers Directive [Directive 2014/36/EU],10,"Migration, Asylum & Border Management",keyword
32014L0040,Tobacco Products Directive [Directive 2014/40/EU],13,"Health, Medicines & Life Sciences",hand
32014L0041,EIO Directive [Directive 2014/41/EU],9,Criminal Justice & Fundamental Rights,hand
32014L0042,Asset Freezing and Confiscation Directive [Directive 2014/42/EU],9,Criminal Justice & Fundamental Rights,keyword
32014L0045,Directive 2014/45/EU,11,Transport & Mobility,keyword
32014L0046,Directive 2014/46/EU,11,Transport & Mobility,hand
32014L0047,Directive 2014/47/EU,11,Transport & Mobility,hand
32014L0049,Deposit Guarantee Schemes Directive [Directive 2014/49/EU],6,"Banking, Payments, Insurance & AML",hand
32014L0051,Omnibus II Directive [Directive 2014/51/EU],5,"Financial Markets, Investment & Capital",keyword
32014L0053,Radio Equipment Directive [Directive 2014/53/EU],4,Cybersecurity & Operational Resilience,hand
32014L0054,Directive 2014/54/EU,7,Consumer Rights & Internal Market,keyword
32014L0055,Electronic Invoicing Directive [Directive 2014/55/EU],7,Consumer Rights & Internal Market,hand
32014L0056,Statutory Audit Amending Directive [Directive 2014/56/EU],5,"Financial Markets, Investment & Capital",hand
32014L0057,Market Abuse Directive [Directive 2014/57/EU],5,"Financial Markets, Investment & Capital",hand
32014L0059,BRRD - Bank Recovery and Resolution Directive [Directive 2014/59/EU],6,"Banking, Payments, Insurance & AML",hand
32014L0060,Cultural Objects Directive [Directive 2014/60/EU],15,EU Institutional Framework & Funding,keyword
32014L0061,Broadband Cost Reduction Directive [Directive 2014/61/EU],2,Platform Regulation & Digital Markets,keyword
32014L0062,Directive 2014/62/EU,9,Criminal Justice & Fundamental Rights,keyword
32014L0065,MiFID II [Directive 2014/65/EU],5,"Financial Markets, Investment & Capital",hand
32014L0066,ICT Directive [Directive 2014/66/EU],7,Consumer Rights & Internal Market,keyword
32014L0067,IMI Regulation [Directive 2014/67/EU],7,Consumer Rights & Internal Market,keyword
32014L0068,Pressure Equipment Directive [Directive 2014/68/EU],7,Consumer Rights & Internal Market,keyword
32014L0079,Directive 2014/79/EU,7,Consumer Rights & Internal Market,hand
32014L0081,Directive 2014/81/EU,7,Consumer Rights & Internal Market,keyword
32014L0082,Directive 2014/82/EU,7,Consumer Rights & Internal Market,keyword
32014L0084,Directive 2014/84/EU,13,"Health, Medicines & Life Sciences",keyword
32014L0089,Maritime Spatial Planning Directive [Directive 2014/89/EU],11,Transport & Mobility,keyword
32014L0090,Marine Equipment Directive [Directive 2014/90/EU],7,Consumer Rights & Internal Market,keyword
32014L0091,UCITS V Directive [Directive 2014/91/EU],5,"Financial Markets, Investment & Capital",hand
32014L0092,Payment Accounts Directive [Directive 2014/92/EU],6,"Banking, Payments, Insurance & AML",hand
32014L0095,Non-Financial Reporting Directive [Directive 2014/95/EU],5,"Financial Markets, Investment & Capital",hand
32014L0104,Damages Actions Directive [Directive 2014/104/EU],5,"Financial Markets, Investment & Capital",keyword
32014L0107,Council Directive 2014/107/EU,6,"Banking, Payments, Insurance & AML",keyword
32014L0109,Directive Commission Delegated Directive 2014/109/EU,13,"Health, Medicines & Life Sciences",keyword
32014L0112,Directive 2014/112/EU,11,Transport & Mobility,keyword
32014R0090,Regulation (EU) No 90/2014,13,"Health, Medicines & Life Sciences",keyword
32014R0118,Regulation (EU) No 118/2014,10,"Migration, Asylum & Border Management",keyword
32014R0133,Regulation (EU) No 133/2014,11,Transport & Mobility,keyword
32014R0136,Regulation (EU) No 136/2014,11,Transport & Mobility,keyword
32014R0139,Regulation (EU) No 139/2014,11,Transport & Mobility,keyword
32014R0165,Tachographs Regulation [Regulation (EU) No 165/2014],11,Transport & Mobility,hand
32014R0184,Regulation (EU) No 184/2014,11,Transport & Mobility,keyword
32014R0205,Regulation (EU) No 205/2014,15,EU Institutional Framework & Funding,keyword
32014R0208,Regulation (EU) No 208/2014,15,EU Institutional Framework & Funding,keyword
32014R0218,Regulation (EU) No 218/2014,13,"Health, Medicines & Life Sciences",keyword
32014R0223,FEAD Regulation [Regulation (EU) No 223/2014],14,"Agriculture, Fisheries & Rural Development",hand
32014R0224,Regulation (EU) No 224/2014,15,EU Institutional Framework & Funding,keyword
32014R0236,Regulation (EU) No 236/2014,5,"Financial Markets, Investment & Capital",keyword
32014R0248,Regulation (EU) No 248/2014,10,"Migration, Asylum & Border Management",keyword
32014R0251,Regulation (EU) No 251/2014,8,Intellectual Property,keyword
32014R0269,Ukraine Territorial Integrity Sanctions Regulation [Regulation (EU) No 269/2014],15,EU Institutional Framework & Funding,keyword
32014R0368,Regulation (EU) No 368/2014,11,Transport & Mobility,keyword
32014R0376,Civil Aviation Occurrence Reporting Regulation [Regulation (EU) No 376/2014],11,Transport & Mobility,hand
32014R0422,Regulation (EU) No 422/2014,15,EU Institutional Framework & Funding,keyword
32014R0423,Regulation (EU) No 423/2014,15,EU Institutional Framework & Funding,keyword
32014R0463,Regulation (EU) No 463/2014,15,EU Institutional Framework & Funding,hand
32014R0468,SSM Framework Regulation [ECB Regulation (EU) No 468/2014],6,"Banking, Payments, Insurance & AML",hand
32014R0508,European Maritime and Fisheries Fund Regulation [Regulation (EU) No 508/2014],14,"Agriculture, Fisheries & Rural Development",hand
32014R0510,Regulation (EU) No 510/2014,14,"Agriculture, Fisheries & Rural Development",keyword
32014R0513,Regulation (EU) No 513/2014,10,"Migration, Asylum & Border Management",hand
32014R0514,Regulation (EU) No 514/2014,10,"Migration, Asylum & Border Management",hand
32014R0515,ISF Borders and Visa Regulation [Regulation (EU) No 515/2014],10,"Migration, Asylum & Border Management",hand
32014R0516,Asylum Migration and Integration Fund Regulation [Regulation (EU) No 516/2014],10,"Migration, Asylum & Border Management",keyword
32014R0536,CTR - Clinical Trials Regulation [Regulation (EU) No 536/2014],13,"Health, Medicines & Life Sciences",hand
32014R0537,Statutory Audit of Public-Interest Entities Regulation [Regulation (EU) No 537/2014],5,"Financial Markets, Investment & Capital",hand
32014R0540,Regulation (EU) No 540/2014,11,Transport & Mobility,keyword
32014R0542,Regulation (EU) No 542/2014,7,Consumer Rights & Internal Market,hand
32014R0596,MAR - Market Abuse Regulation [Regulation (EU) No 596/2014],5,"Financial Markets, Investment & Capital",hand
32014R0600,MiFIR [Regulation (EU) No 600/2014],5,"Financial Markets, Investment & Capital",hand
32014R0627,Regulation (EU) No 627/2014,11,Transport & Mobility,keyword
32014R0633,Regulation (EU) No 633/2014,13,"Health, Medicines & Life Sciences",keyword
32014R0639,Regulation (EU) No 639/2014,14,"Agriculture, Fisheries & Rural Development",keyword
32014R0640,Regulation (EU) No 640/2014,14,"Agriculture, Fisheries & Rural Development",keyword
32014R0651,General Block Exemption Regulation [Regulation (EU) No 651/2014],5,"Financial Markets, Investment & Capital",keyword
32014R0655,European Account Preservation Order Regulation [Regulation (EU) No 655/2014],7,Consumer Rights & Internal Market,hand
32014R0656,Sea Borders Regulation [Regulation (EU) No 656/2014],10,"Migration, Asylum & Border Management",hand
32014R0667,Regulation (EU) No 667/2014,5,"Financial Markets, Investment & Capital",keyword
32014R0692,Regulation (EU) No 692/2014,15,EU Institutional Framework & Funding,keyword
32014R0717,Regulation (EU) No 717/2014,14,"Agriculture, Fisheries & Rural Development",keyword
32014R0733,Regulation (EU) No 733/2014,12,"Environment, Energy & Climate",keyword
32014R0788,Regulation (EU) No 788/2014,11,Transport & Mobility,keyword
32014R0802,Regulation (EU) No 802/2014,9,Criminal Justice & Fundamental Rights,keyword
32014R0806,SRM Regulation [Regulation (EU) No 806/2014],6,"Banking, Payments, Insurance & AML",hand
32014R0833,Regulation (EU) No 833/2014,15,EU Institutional Framework & Funding,keyword
32014R0909,CSDR [Regulation (EU) No 909/2014],5,"Financial Markets, Investment & Capital",hand
32014R0910,EIDAS 1 [Regulation (EU) No 910/2014],1,"AI, Data Economy & Digital Identity",hand
32014R1011,Regulation (EU) No 1011/2014,14,"Agriculture, Fisheries & Rural Development",keyword
32014R1141,"European Political Parties Regulation [Regulation (EU, Euratom) No 1141/2014]",9,Criminal Justice & Fundamental Rights,hand
32014R1163,Regulation (EU) No 1163/2014,6,"Banking, Payments, Insurance & AML",hand
32014R1201,Regulation (EU) No 1201/2014,15,EU Institutional Framework & Funding,keyword
32014R1286,PRIIPs Regulation [Regulation (EU) No 1286/2014],5,"Financial Markets, Investment & Capital",hand
32014R1302,Regulation (EU) No 1302/2014,7,Consumer Rights & Internal Market,keyword
32014R1311,Regulation (EU) No 1311/2014,15,EU Institutional Framework & Funding,keyword
32014R1312,Regulation (EU) No 1312/2014,15,EU Institutional Framework & Funding,hand
32014R1321,Regulation (EU) No 1321/2014,7,Consumer Rights & Internal Market,keyword
32014R1352,Regulation (EU) No 1352/2014,15,EU Institutional Framework & Funding,keyword
32014R1368,Regulation (EU) No 1368/2014,7,Consumer Rights & Internal Market,keyword
32015L0254,Directive (EU) 2015/254,13,"Health, Medicines & Life Sciences",keyword
32015L0413,Cross-Border Traffic Offences Directive [Directive (EU) 2015/413],11,Transport & Mobility,hand
32015L0637,Consular Protection Directive [Directive (EU) 2015/637],10,"Migration, Asylum & Border Management",keyword
32015L0720,Plastic Bags Directive [Directive (EU) 2015/720],7,Consumer Rights & Internal Market,keyword
32015L0849,AML4 - Fourth Anti-Money Laundering Directive [Directive 2015/849] [amended by AML5 and 6 and Solvency II],9,Criminal Justice & Fundamental Rights,keyword
32015L1480,Directive (EU) 2015/1480,12,"Environment, Energy & Climate",keyword
32015L1535,InfoSoc Directive [Directive (EU) 2015/1535],2,Platform Regulation & Digital Markets,keyword
32015L1794,Directive (EU) 2015/1794,11,Transport & Mobility,keyword
32015L2060,Directive (EU) 2015/2060,6,"Banking, Payments, Insurance & AML",keyword
32015L2115,Directive (EU) 2015/2115,7,Consumer Rights & Internal Market,keyword
32015L2116,Directive (EU) 2015/2116,7,Consumer Rights & Internal Market,keyword
32015L2117,Directive (EU) 2015/2117,7,Consumer Rights & Internal Market,keyword
32015L2193,Medium Combustion Plants Directive [Directive (EU) 2015/2193],12,"Environment, Energy & Climate",keyword
32015L2302,Package Travel Directive [Directive (EU) 2015/2302],7,Consumer Rights & Internal Market,keyword
32015L2366,PSD2 - Payment Services Directive 2 [Directive (EU) 2015/2366],6,"Banking, Payments, Insurance & AML",hand
32015L2376,Directive (EU) 2015/2376,10,"Migration, Asylum & Border Management",keyword
32015L2392,Directive (EU) 2015/2392,5,"Financial Markets, Investment & Capital",keyword
32015L2436,Trade Marks Directive [Directive (EU) 2015/2436],8,Intellectual Property,hand
32015R0002,Regulation (EU) 2015/2,5,"Financial Markets, Investment & Capital",keyword
32015R0062,Regulation (EU) 2015/62,6,"Banking, Payments, Insurance & AML",keyword
32015R0063,Regulation (EU) 2015/63,5,"Financial Markets, Investment & Capital",keyword
32015R0081,Regulation (EU) 2015/81,6,"Banking, Payments, Insurance & AML",keyword
32015R0159,Regulation (EU) 2015/159,5,"Financial Markets, Investment & Capital",keyword
32015R0281,Regulation (EU) 2015/281,7,Consumer Rights & Internal Market,hand
32015R0340,Regulation (EU) 2015/340,7,Consumer Rights & Internal Market,keyword
32015R0341,Regulation (EU) 2015/341,15,EU Institutional Framework & Funding,hand
32015R0534,Regulation (EU) 2015/534,6,"Banking, Payments, Insurance & AML",keyword
32015R0735,Regulation (EU) 2015/735,15,EU Institutional Framework & Funding,keyword
32015R0751,Interchange Fees Regulation [Regulation (EU) 2015/751],10,"Migration, Asylum & Border Management",keyword
32015R0757,MRV Maritime Regulation [Regulation (EU) 2015/757],11,Transport & Mobility,hand
32015R0758,eCall In-Vehicle System Regulation [Regulation (EU) 2015/758],11,Transport & Mobility,hand
32015R0759,Regulation (EU) 2015/759,15,EU Institutional Framework & Funding,keyword
32015R0760,ELTIF Regulation [Regulation (EU) 2015/760],5,"Financial Markets, Investment & Capital",hand
32015R0812,Regulation (EU) 2015/812,14,"Agriculture, Fisheries & Rural Development",keyword
32015R0848,Insolvency Regulation [Regulation (EU) 2015/848],7,Consumer Rights & Internal Market,hand
32015R1017,EFSI Regulation [Regulation (EU) 2015/1017],5,"Financial Markets, Investment & Capital",keyword
32015R1018,Regulation (EU) 2015/1018,11,Transport & Mobility,keyword
32015R1051,Regulation (EU) 2015/1051,7,Consumer Rights & Internal Market,hand
32015R1163,Regulation (EU) 2015/1163,15,EU Institutional Framework & Funding,keyword
32015R1502,Regulation (EU) 2015/1502,1,"AI, Data Economy & Digital Identity",keyword
32015R1515,Regulation (EU) 2015/1515,5,"Financial Markets, Investment & Capital",keyword
32015R1589,Regulation (EU) 2015/1589,15,EU Institutional Framework & Funding,keyword
32015R1755,Regulation (EU) 2015/1755,15,EU Institutional Framework & Funding,keyword
32015R1929,"Regulation (EU, Euratom) 2015/1929",7,Consumer Rights & Internal Market,keyword
32015R1998,Regulation (EU) 2015/1998,11,Transport & Mobility,keyword
32015R2120,Open Internet Access Regulation [Regulation (EU) 2015/2120],2,Platform Regulation & Digital Markets,hand
32015R2170,Regulation (EU) 2015/2170,7,Consumer Rights & Internal Market,keyword
32015R2171,Regulation (EU) 2015/2171,7,Consumer Rights & Internal Market,keyword
32015R2172,Regulation (EU) 2015/2172,7,Consumer Rights & Internal Market,keyword
32015R2219,Regulation (EU) 2015/2219,9,Criminal Justice & Fundamental Rights,keyword
32015R2283,Novel Food Regulation [Regulation (EU) 2015/2283],7,Consumer Rights & Internal Market,keyword
32015R2285,Regulation (EU) 2015/2285,11,Transport & Mobility,keyword
32015R2322,Regulation (EU) 2015/2322,11,Transport & Mobility,keyword
32015R2365,SFTR [Regulation (EU) 2015/2365],5,"Financial Markets, Investment & Capital",hand
32015R2378,Regulation (EU) 2015/2378,5,"Financial Markets, Investment & Capital",keyword
32015R2421,Regulation (EU) 2015/2421,7,Consumer Rights & Internal Market,keyword
32015R2422,"Regulation (EU, Euratom) 2015/2422",15,EU Institutional Framework & Funding,keyword
32015R2424,Regulation (EU) 2015/2424,8,Intellectual Property,keyword
32015R2446,Regulation (EU) 2015/2446,15,EU Institutional Framework & Funding,keyword
32015R2447,Regulation (EU) 2015/2447,15,EU Institutional Framework & Funding,keyword
32016L0097,Insurance Distribution Directive [Directive (EU) 2016/97],6,"Banking, Payments, Insurance & AML",hand
32016L0343,Presumption of Innocence Directive [Directive (EU) 2016/343],9,Criminal Justice & Fundamental Rights,keyword
32016L0680,LED - Law Enforcement Directive [Directive (EU) 2016/680],0,Data Protection & Privacy,hand
32016L0681,PNR Directive [Directive (EU) 2016/681],9,Criminal Justice & Fundamental Rights,keyword
32016L0797,Rail Interoperability Directive [Directive (EU) 2016/797],7,Consumer Rights & Internal Market,keyword
32016L0798,Railway Safety Directive [Directive (EU) 2016/798],11,Transport & Mobility,keyword
32016L0800,Procedural Safeguards for Children Directive [Directive (EU) 2016/800],9,Criminal Justice & Fundamental Rights,keyword
32016L0801,Students and Researchers Directive [Directive (EU) 2016/801],10,"Migration, Asylum & Border Management",keyword
32016L0802,Directive (EU) 2016/802,11,Transport & Mobility,keyword
32016L0881,Directive (EU) 2016/881,5,"Financial Markets, Investment & Capital",keyword
32016L0882,Directive (EU) 2016/882,7,Consumer Rights & Internal Market,keyword
32016L0943,Trade Secrets And Know-How Directive [Directive (EU) 2016/943],8,Intellectual Property,hand
32016L1034,MiFID II [Directive (EU) 2016/1034],5,"Financial Markets, Investment & Capital",hand
32016L1164,Anti-Tax Avoidance Directive [Directive (EU) 2016/1164],5,"Financial Markets, Investment & Capital",keyword
32016L1629,Directive (EU) 2016/1629,11,Transport & Mobility,hand
32016L1919,Legal Aid Directive [Directive (EU) 2016/1919],9,Criminal Justice & Fundamental Rights,keyword
32016L2102,Web Accessibility Directive [Directive (EU) 2016/2102],1,"AI, Data Economy & Digital Identity",keyword
32016L2258,Directive (EU) 2016/2258,5,"Financial Markets, Investment & Capital",keyword
32016L2341,IORP II Directive [Directive (EU) 2016/2341],6,"Banking, Payments, Insurance & AML",hand
32016L2370,Directive (EU) 2016/2370,11,Transport & Mobility,hand
32016R0161,Regulation (EU) 2016/161,13,"Health, Medicines & Life Sciences",keyword
32016R0232,Regulation (EU) 2016/232,14,"Agriculture, Fisheries & Rural Development",keyword
32016R0300,Regulation (EU) 2016/300,15,EU Institutional Framework & Funding,keyword
32016R0341,Regulation (EU) 2016/341,15,EU Institutional Framework & Funding,keyword
32016R0369,Regulation (EU) 2016/369,10,"Migration, Asylum & Border Management",keyword
32016R0399,Schengen Borders Code [Regulation (EU) 2016/399],10,"Migration, Asylum & Border Management",hand
32016R0400,Regulation (EU) 2016/400,12,"Environment, Energy & Climate",keyword
32016R0401,Regulation (EU) 2016/401,12,"Environment, Energy & Climate",keyword
32016R0424,Regulation (EU) 2016/424,7,Consumer Rights & Internal Market,keyword
32016R0425,PPE Regulation [Regulation (EU) 2016/425],7,Consumer Rights & Internal Market,keyword
32016R0426,Regulation (EU) 2016/426,7,Consumer Rights & Internal Market,keyword
32016R0429,Animal Health Law [Regulation (EU) 2016/429],13,"Health, Medicines & Life Sciences",keyword
32016R0438,Regulation (EU) 2016/438,5,"Financial Markets, Investment & Capital",keyword
32016R0445,Regulation (EU) 2016/445,5,"Financial Markets, Investment & Capital",keyword
32016R0522,Regulation (EU) 2016/522,5,"Financial Markets, Investment & Capital",keyword
32016R0589,EURES Regulation [Regulation (EU) 2016/589],7,Consumer Rights & Internal Market,hand
32016R0631,Regulation (EU) 2016/631,10,"Migration, Asylum & Border Management",keyword
32016R0679,GDPR - General Data Protection Regulation [Regulation (EU) 2016/679],0,Data Protection & Privacy,hand
32016R0778,Regulation (EU) 2016/778,6,"Banking, Payments, Insurance & AML",keyword
32016R0791,Regulation (EU) 2016/791,14,"Agriculture, Fisheries & Rural Development",keyword
32016R0792,Regulation (EU) 2016/792,15,EU Institutional Framework & Funding,keyword
